TEAM_ID,NICKNAME,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612737,Hawks,0,22019,2020-01-22,East,Atlanta,45,11,34,244,6-16,5-18
1610612739,Cavaliers,0,22019,2020-02-11,East,Cleveland,53,13,40,245,6-22,7-18
1610612739,Cavaliers,0,22019,2020-02-10,East,Cleveland,53,13,40,245,6-22,7-18
1610612739,Cavaliers,0,22019,2020-02-09,East,Cleveland,53,13,40,245,6-22,7-18
1610612737,Hawks,0,22019,2020-02-04,East,Atlanta,51,13,38,255,8-17,5-21
1610612737,Hawks,0,22019,2020-02-03,East,Atlanta,51,13,38,255,8-17,5-21
1610612739,Cavaliers,0,22019,2020-02-04,East,Cleveland,51,13,38,255,6-21,7-17
1610612739,Cavaliers,0,22019,2020-02-03,East,Cleveland,51,13,38,255,6-21,7-17
1610612737,Hawks,0,22019,2020-01-27,East,Atlanta,47,12,35,255,7-16,5-19
1610612737,Hawks,0,22019,2020-01-26,East,Atlanta,47,12,35,255,7-16,5-19
1610612752,Warriors,0,22019,2020-01-19,East,New York,43,11,32,256,6-15,5-17
1610612752,Warriors,0,22019,2020-01-18,East,New York,43,11,32,256,6-15,5-17
1610612752,Warriors,0,22019,2020-01-11,East,New York,39,10,29,256,5-13,5-16
1610612752,Warriors,0,22019,2020-01-10,East,New York,39,10,29,256,5-13,5-16
1610612744,Warriors,0,22019,2020-01-01,West,Golden State,35,9,26,257,6-11,3-15
1610612739,Cavaliers,0,22019,2020-02-20,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-19,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-18,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-17,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-16,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-15,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-14,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-13,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-02-12,East,Cleveland,54,14,40,259,7-22,7-18
1610612739,Cavaliers,0,22019,2020-01-26,East,Cleveland,46,12,34,261,6-17,6-17
1610612739,Cavaliers,0,22019,2020-01-25,East,Cleveland,46,12,34,261,6-17,6-17
1610612752,Warriors,0,22019,2020-01-25,East,New York,46,12,34,261,6-17,6-17
1610612752,Warriors,0,22019,2020-01-24,East,New York,46,12,34,261,6-17,6-17
1610612752,Warriors,0,22019,2020-01-17,East,New York,42,11,31,262,6-14,5-17
1610612752,Warriors,0,22019,2020-01-16,East,New York,42,11,31,262,6-14,5-17
1610612752,Warriors,0,22019,2020-01-09,East,New York,38,10,28,263,5-12,5-16
1610612752,Warriors,0,22019,2020-01-08,East,New York,38,10,28,263,5-12,5-16
1610612737,Hawks,0,22019,2020-02-08,East,Atlanta,53,14,39,264,8-17,6-22
1610612737,Hawks,0,22019,2020-02-07,East,Atlanta,53,14,39,264,8-17,6-22
1610612737,Hawks,0,22019,2020-01-31,East,Atlanta,49,13,36,265,8-16,5-20
1610612737,Hawks,0,22019,2020-01-30,East,Atlanta,49,13,36,265,8-16,5-20
1610612739,Cavaliers,0,22019,2020-01-31,East,Cleveland,49,13,36,265,6-19,7-17
1610612739,Cavaliers,0,22019,2020-01-30,East,Cleveland,49,13,36,265,6-19,7-17
1610612752,Warriors,0,22019,2020-01-31,East,New York,49,13,36,265,7-18,6-18
1610612752,Warriors,0,22019,2020-01-30,East,New York,49,13,36,265,7-18,6-18
1610612752,Warriors,0,22019,2020-01-29,East,New York,49,13,36,265,7-18,6-18
1610612739,Cavaliers,0,22019,2020-01-24,East,Cleveland,45,12,33,267,6-16,6-17
1610612739,Cavaliers,0,22019,2020-01-23,East,Cleveland,45,12,33,267,6-16,6-17
1610612752,Warriors,0,22019,2020-01-23,East,New York,45,12,33,267,6-16,6-17
1610612752,Warriors,0,22019,2020-01-22,East,New York,45,12,33,267,6-16,6-17
1610612737,Hawks,0,22019,2020-02-19,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-18,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-17,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-16,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-15,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-14,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-13,East,Atlanta,56,15,41,268,9-17,6-24
1610612737,Hawks,0,22019,2020-02-12,East,Atlanta,56,15,41,268,9-17,6-24
1610612739,Cavaliers,0,22019,2020-02-23,East,Cleveland,56,15,41,268,7-22,8-19
1610612739,Cavaliers,0,22019,2020-02-22,East,Cleveland,56,15,41,268,7-22,8-19
1610612752,Warriors,0,22019,2020-01-15,East,New York,41,11,30,268,6-13,5-17
1610612752,Warriors,0,22019,2020-01-14,East,New York,41,11,30,268,6-13,5-17
1610612737,Hawks,0,22019,2020-02-06,East,Atlanta,52,14,38,269,8-17,6-21
1610612737,Hawks,0,22019,2020-02-05,East,Atlanta,52,14,38,269,8-17,6-21
1610612739,Cavaliers,0,22019,2020-01-29,East,Cleveland,48,13,35,271,6-18,7-17
1610612739,Cavaliers,0,22019,2020-01-28,East,Cleveland,48,13,35,271,6-18,7-17
1610612752,Warriors,0,22019,2020-01-28,East,New York,48,13,35,271,7-17,6-18
1610612737,Hawks,0,22019,2020-02-11,East,Atlanta,55,15,40,273,9-17,6-23
1610612737,Hawks,0,22019,2020-02-10,East,Atlanta,55,15,40,273,9-17,6-23
1610612739,Cavaliers,0,22019,2020-02-21,East,Cleveland,55,15,40,273,7-22,8-18
1610612739,Cavaliers,0,22019,2020-01-22,East,Cleveland,44,12,32,273,6-15,6-17
1610612739,Cavaliers,0,22019,2020-01-21,East,Cleveland,44,12,32,273,6-15,6-17
1610612739,Cavaliers,0,22019,2020-01-20,East,Cleveland,44,12,32,273,6-15,6-17
1610612752,Warriors,0,22019,2020-01-21,East,New York,44,12,32,273,6-15,6-17
1610612752,Warriors,0,22019,2020-01-20,East,New York,44,12,32,273,6-15,6-17
1610612752,Warriors,0,22019,2020-01-13,East,New York,40,11,29,275,6-13,5-16
1610612752,Warriors,0,22019,2020-01-12,East,New York,40,11,29,275,6-13,5-16
1610612739,Cavaliers,0,22019,2020-01-27,East,Cleveland,47,13,34,277,6-17,7-17
1610612752,Warriors,0,22019,2020-01-27,East,New York,47,13,34,277,7-17,6-17
1610612752,Warriors,0,22019,2020-01-26,East,New York,47,13,34,277,7-17,6-17
1610612737,Hawks,0,22019,2020-02-09,East,Atlanta,54,15,39,278,9-17,6-22
